Checkbox,Icon,Selected,Item code,Tag,Description,Quantity kg/l/nos,Ex. Works Price,CIF,Duty Free,Duty Paid,Export
,,no,OLBK0002,1 - Oil,Inhibited Mineral Oil,1,,,,,
,,no,OLBK0001,1 - Oil,Unhibited Mineral Oil,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,215 x 0.19,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,240 x 0.27,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,275 x 0.27,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,275 x 0.40,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,280 x 0.25,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,280 x 0.27,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,280 x 0.4,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,320 x 0.40,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,330 x 0.55,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,370 x 0.50,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,405 x 0.75,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,410 x 0.70,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,425 x 0.85,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,530 x 0.80,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,540 x 0.9,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,540 x 0.90,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,540 x 1,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,565 x 0.90,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,630 x 0.45,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,630 x 0.45 x 2,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,630 x 0.95,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,650 x 0.5,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,650 x 0.50 x 2,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,650 x 1,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,675 x 0.9,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,685 x 0.6,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,685 x 0.60 x 2,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,755 x 0.7,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,755 x 0.70 x 2,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,760 x 0.8,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,760 x 0.80 x 2,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,760 x 0.95,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,800 x 1.35,1,,,,,
,,no,LV FOIL,2 - LV Conductor - FOIL,800 x 1.35 x 2,1,,,,,
,,no,LV Rec,2 - LV Conductor - REC,3.5 x 11.5,1,,,,,
,,no,LV Rec,2 - LV Conductor - REC,3.5 x 17.5,1,,,,,
,,no,LV Rec,2 - LV Conductor - REC,3.5 x 9.5,1,,,,,
,,no,LV Rec,2 - LV Conductor - REC,4.5 x 10,1,,,,,
,,no,Busbar,4 - BusBar - Copper,25 x 3,1,,,,,
,,no,Busbar,4 - BusBar - Copper,38 x 4,1,,,,,
,,no,Busbar,4 - BusBar - Copper,40 x 6,1,,,,,
,,no,Busbar,4 - BusBar - Copper,50 x 6,1,,,,,
,,no,Busbar,4 - BusBar - Copper,60 x 5,1,,,,,
,,no,Busbar,4 - BusBar - Copper,60 x 8,1,,,,,
,,no,Busbar,4 - BusBar - Copper,75 x 6,1,,,,,
,,no,Busbar,4 - BusBar - Copper,80 x 10,1,,,,,
,,no,Busbar,4 - BusBar - Copper,80 x 8,1,,,,,
,,no,Busbar,4 - BusBar - Copper,100 x 10,1,,,,,
,,no,Busbar,4 - BusBar - Copper,120 x 10,1,,,,,
,,no,Busbar,4 - BusBar - Copper,120 x 12,1,,,,,
,,no,Busbar,4 - BusBar - Copper cladded AL,25 x 3,1,,,,,
,,no,Busbar,4 - BusBar - Copper cladded AL,38 x 4,1,,,,,
,,no,Busbar,4 - BusBar - Copper cladded AL,40 x 6,1,,,,,
,,no,Busbar,4 - BusBar - Copper cladded AL,50 x 6,1,,,,,
,,no,Busbar,4 - BusBar - Copper cladded AL,60 x 5,1,,,,,
,,no,Busbar,4 - BusBar - Copper cladded AL,60 x 8,1,,,,,
,,no,Busbar,4 - BusBar - Copper cladded AL,75 x 6,1,,,,,
,,no,Busbar,4 - BusBar - Copper cladded AL,80 x 10,1,,,,,
,,no,Busbar,4 - BusBar - Copper cladded AL,80 x 8,1,,,,,
,,no,Busbar,4 - BusBar - Copper cladded AL,100 x 10,1,,,,,
,,no,Busbar,4 - BusBar - Copper cladded AL,120 x 10,1,,,,,
,,no,Busbar,4 - BusBar - Copper cladded AL,120 x 12,1,,,,,
,,no,DDP,5 - DDP Double Layer,0.15,1,,,,,
,,no,DDP,5 - DDP Single Layer,0.15,1,,,,,
,,no,DDP,5 - DDP Single Layer,0.25,1,,,,,
,,no,DDP,6 - Edge Strip,0.25,1,,,,,
,,no,CD,8 - LV Insulation Packet,50kVA,1,,,,,
,,no,CD,8 - LV Insulation Packet,100kVA,1,,,,,
,,no,CD,8 - LV Insulation Packet,160kVA,1,,,,,
,,no,CD,8 - LV Insulation Packet,200kVA,1,,,,,
,,no,CD,8 - LV Insulation Packet,250kVA,1,,,,,
,,no,CD,8 - LV Insulation Packet,315kVA,1,,,,,
,,no,CD,8 - LV Insulation Packet,500kVA,1,,,,,
,,no,CD,8 - LV Insulation Packet,630kVA,1,,,,,
,,no,CD,8 - LV Insulation Packet,800kVA,1,,,,,
,,no,CD,8 - LV Insulation Packet,1000kVA,1,,,,,
,,no,CD,8 - LV Insulation Packet,1250kVA,1,,,,,
,,no,CD,8 - LV Insulation Packet,1600kVA,1,,,,,
,,no,CD,8 - LV Insulation Packet,2000kVA,1,,,,,
,,no,CD,8 - LV Insulation Packet,2500kVA,1,,,,,
,,no,CD,8 - LV Insulation Packet,3150kVA,1,,,,,
,,no,CD,8 - LV Insulation Packet,4000kVA,1,,,,,
,,no,CD,8 - LV Insulation Packet,5000kVA,1,,,,,
,,no,HV Round conductor,9- HV Rec conductor,3 x 6,1,,,,,
,,no,HV Round conductor,9- HV Rec conductor,3 x 6.35,1,,,,,
,,no,HV Round conductor,9- HV Rec conductor,3.5 x 11.5,1,,,,,
,,no,HV Round conductor,9- HV Rec conductor,3.5 x 17.5,1,,,,,
,,no,HV Round conductor,9- HV Rec conductor,3.5 x 9.5,1,,,,,
,,no,HV Round conductor,9- HV Rec conductor,4.5 x 10,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,1,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,1,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,1,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,1,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,2,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,2,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,2,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,2,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,2,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,2,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,2,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,2,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,2,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,3,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,3,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,3,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,3,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,3,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,3,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,3,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,3,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,3,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,3,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,4,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,4,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,4,1,,,,,
,,no,Enameled Copper,9- HV Round conductor,4,1,,,,,
,,no,DDP,91 - DDP Double Layer,0,1,,,,,
,,no,DDP,91 - DDP Single Layer,0,1,,,,,
,,no,DDP,91 - DDP Single Layer,0,1,,,,,
,,no,Edge strip,92 - HV Edge strip,0,1,,,,,
,,no,DDP,92 - HV Strip insulation,0,1,,,,,
,,no,CD,93 - HV Insulation Packet,50kVA,1,,,,,
,,no,CD,93 - HV Insulation Packet,100kVA,1,,,,,
,,no,CD,93 - HV Insulation Packet,160kVA,1,,,,,
,,no,CD,93 - HV Insulation Packet,200kVA,1,,,,,
,,no,CD,93 - HV Insulation Packet,250kVA,1,,,,,
,,no,CD,93 - HV Insulation Packet,315kVA,1,,,,,
,,no,CD,93 - HV Insulation Packet,500kVA,1,,,,,
,,no,CD,93 - HV Insulation Packet,630kVA,1,,,,,
,,no,CD,93 - HV Insulation Packet,800kVA,1,,,,,
,,no,CD,93 - HV Insulation Packet,1000kVA,1,,,,,
,,no,CD,93 - HV Insulation Packet,1250kVA,1,,,,,
,,no,CD,93 - HV Insulation Packet,1600kVA,1,,,,,
,,no,CD,93 - HV Insulation Packet,2000kVA,1,,,,,
,,no,CD,93 - HV Insulation Packet,2500kVA,1,,,,,
,,no,CD,93 - HV Insulation Packet,3150kVA,1,,,,,
,,no,CD,93 - HV Insulation Packet,4000kVA,1,,,,,
,,no,CD,93 - HV Insulation Packet,5000kVA,1,,,,,
,,no,HD Copper,94 - HD Copper,,1,,,,,
,,no,Bare Copper,95 - Bare Copper,,1,,,,,
,,no,Bare Copper,96 - Bare Copper,,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,50/33/400,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,100/33/400 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,160/33/400 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,400/33/400 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,630/33/400 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,800/33/400 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,1000/33/400 EU,1,,,,,
