Selected?,Item code,Tag,Description,Ex. Works Price,CIF,Duty Free,Duty Paid,Export
no,OLBK0002,Oil,Inhibited Mineral Oil,100,100,100,100,100
no,OLBK0001,Oil,Unhibited Mineral Oil,100,100,100,100,100
no,ACIN0013,LV Foil,215 x 0.19,100,100,100,100,100
no,ACIN0014,LV Foil,240 x 0.27,100,100,100,100,100
no,ACIN0015,LV Foil,275 x 0.40,100,100,100,100,100
no,ACIN0016,LV Foil,275 x 0.27,100,100,100,100,100
no,ACIN0017,LV Foil,280 x 0.25,100,100,100,100,100
no,ACIN0018,LV Foil,280 x 0.27,100,100,100,100,100
no,ACIN0019,LV Foil,280 x 0.4,100,100,100,100,100
no,ACIN0020,LV Foil,3.5 x 11.5,100,100,100,100,100
no,ACIN0021,LV Foil,3.5 x 17.5,100,100,100,100,100
no,ACIN0022,LV Foil,3.5 x 9.5,100,100,100,100,100
no,ACIN0023,LV Foil,320 x 0.40,100,100,100,100,100
no,ACIN0024,LV Foil,330 x 0.55,100,100,100,100,100
no,ACIN0025,LV Foil,370 x 0.50,100,100,100,100,100
no,ACIN0026,LV Foil,4.5 x 10,100,100,100,100,100
no,ACIN0027,LV Foil,405 x 0.75,100,100,100,100,100
no,ACIN0028,LV Foil,410 x 0.70,100,100,100,100,100
no,ACIN0029,LV Foil,425 x 0.85,100,100,100,100,100
no,ACIN0030,LV Foil,530 x 0.80,100,100,100,100,100
no,ACIN0031,LV Foil,540 x 0.90,100,100,100,100,100
no,ACIN0032,LV Foil,540 x 0.9,100,100,100,100,100
no,ACIN0033,LV Foil,540 x 1,100,100,100,100,100
no,ACIN0034,LV Foil,565 x 0.90,100,100,100,100,100
no,ACIN0035,LV Foil,630 x 0.45,100,100,100,100,100
no,ACIN0036,LV Foil,630 x 0.45 x 2,100,100,100,100,100
no,ACIN0037,LV Foil,630 x 0.95,100,100,100,100,100
no,ACIN0038,LV Foil,650 x 0.5,100,100,100,100,100
no,ACIN0039,LV Foil,650 x 0.50 x 2,100,100,100,100,100
no,ACIN0040,LV Foil,650 x 1,100,100,100,100,100
no,ACIN0041,LV Foil,675 x 0.9,100,100,100,100,100
no,ACIN0042,LV Foil,685 x 0.6,100,100,100,100,100
no,ACIN0043,LV Foil,685 x 0.60 x 2,100,100,100,100,100
no,ACIN0044,LV Foil,755 x 0.7,100,100,100,100,100
no,ACIN0045,LV Foil,755 x 0.70 x 2,100,100,100,100,100
no,ACIN0046,LV Foil,760 x 0.8,100,100,100,100,100
no,ACIN0047,LV Foil,760 x 0.80 x 2,100,100,100,100,100
no,ACIN0048,LV Foil,760 x 0.95,100,100,100,100,100
no,ACIN0049,LV Foil,800 x 1.35,100,100,100,100,100
no,ACIN0050,LV Foil,800 x 1.35 x 2,100,100,100,100,100
no,ACIN0051,BusBar,25 x 3,100,100,100,100,100
no,ACIN0052,BusBar,38 x 4,100,100,100,100,100
no,ACIN0053,BusBar,40 x 6,100,100,100,100,100
no,ACIN0054,BusBar,50 x 6,100,100,100,100,100
no,ACIN0055,BusBar,60 x 5,100,100,100,100,100
no,ACIN0056,BusBar,60 x 8,100,100,100,100,100
no,ACIN0057,BusBar,75 x 6,100,100,100,100,100
no,ACIN0058,BusBar,80 x 8,100,100,100,100,100
no,ACIN0059,BusBar,80 x 10,100,100,100,100,100
no,ACIN0060,BusBar,100 x 10,100,100,100,100,100
no,ACIN0061,BusBar,120 x 10,100,100,100,100,100
no,ACIN0062,BusBar,120 x 12,100,100,100,100,100
no,ACIN0063,,,100,100,100,100,100
no,ACIN0064,,,100,100,100,100,100
no,ACIN0065,,,100,100,100,100,100
no,ACIN0066,,,100,100,100,100,100
no,ACIN0067,,,100,100,100,100,100
no,ACIN0068,,,100,100,100,100,100
no,ACIN0069,,,100,100,100,100,100
no,ACIN0070,,,100,100,100,100,100
no,ACIN0071,,,100,100,100,100,100
no,ACIN0072,,,100,100,100,100,100
no,ACIN0073,,,100,100,100,100,100
no,ACIN0074,,,100,100,100,100,100
no,ACIN0075,,,100,100,100,100,100
no,ACIN0076,,,100,100,100,100,100
no,ACIN0077,,,100,100,100,100,100
no,ACIN0078,,,100,100,100,100,100
no,ACIN0079,,,100,100,100,100,100
no,ACIN0080,,,100,100,100,100,100
no,ACIN0081,,,100,100,100,100,100
no,ACIN0082,,,100,100,100,100,100
no,ACIN0083,,,100,100,100,100,100
no,ACIN0084,,,100,100,100,100,100
no,ACIN0085,,,100,100,100,100,100
no,ACIN0086,,,100,100,100,100,100
no,ACIN0087,,,100,100,100,100,100
no,ACIN0088,,,100,100,100,100,100
no,ACIN0089,,,100,100,100,100,100
no,ACIN0090,,,100,100,100,100,100
no,ACIN0091,,,100,100,100,100,100
no,ACIN0092,,,100,100,100,100,100
no,ACIN0093,,,100,100,100,100,100
no,ACIN0094,,,100,100,100,100,100
no,ACIN0095,,,100,100,100,100,100
no,ACIN0096,,,100,100,100,100,100
no,ACIN0097,,,100,100,100,100,100
no,ACIN0098,,,100,100,100,100,100
no,ACIN0099,,,100,100,100,100,100
no,ACIN0100,,,100,100,100,100,100
no,ACIN0101,,,100,100,100,100,100
no,ACIN0102,,,100,100,100,100,100
no,ACIN0103,,,100,100,100,100,100
no,ACIN0104,,,100,100,100,100,100
no,ACIN0105,,,100,100,100,100,100
no,ACIN0106,,,100,100,100,100,100
no,ACIN0107,,,100,100,100,100,100
no,ACIN0108,,,100,100,100,100,100
no,ACIN0109,,,100,100,100,100,100
no,ACIN0110,,,100,100,100,100,100
no,ACIN0111,,,100,100,100,100,100
no,ACIN0112,,,100,100,100,100,100
no,ACIN0113,,,100,100,100,100,100
no,ACIN0114,,,100,100,100,100,100
no,ACIN0115,,,100,100,100,100,100
no,ACIN0116,,,100,100,100,100,100
no,ACIN0117,,,100,100,100,100,100
no,ACIN0118,,,100,100,100,100,100
no,ACIN0119,,,100,100,100,100,100
no,ACIN0120,,,100,100,100,100,100
no,ACIN0121,,,100,100,100,100,100
no,ACIN0122,,,100,100,100,100,100
no,ACIN0123,,,100,100,100,100,100
no,ACIN0124,,,100,100,100,100,100
no,ACIN0125,,,100,100,100,100,100
no,ACIN0126,,,100,100,100,100,100
no,ACIN0127,,,100,100,100,100,100
no,ACIN0128,,,100,100,100,100,100
no,ACIN0129,,,100,100,100,100,100
no,ACIN0130,,,100,100,100,100,100
no,ACIN0131,,,100,100,100,100,100
no,ACIN0132,,,100,100,100,100,100
no,ACIN0133,Valves,"PRV T-10K1 1R""",100,100,100,100,100
no,ACIN0134,Valves,PRV T-50 0.4 BAR,100,100,100,100,100
no,ACIN0135,Valves,DRAIN VALVE NW 22,100,100,100,100,100
no,ACIN0136,Valves,AIR RELEASE PLUG,100,100,100,100,100
no,ACIN0137,Valves,ARES DIN25 DOUBLE FLANGE GATE VALVE,100,100,100,100,100
no,ACIN0138,Valves,"SINGLE FLANGE BALL VALVE 1"" NW25S-SS",100,100,100,100,100
no,ACIN0139,Valves,THROTTLE VALVE FOR RADIATOR NW80 FORMB,100,100,100,100,100
no,ACIN0140,Valves,"BALL VALVE 1"" PELGER",100,100,100,100,100
no,ACIN0141,Valves,GATE VALVE WITH SAMPLING,100,100,100,100,100
no,ACIN0142,Valves,GATE VALVE WITHOUT SAMPLING,100,100,100,100,100
no,ACIN0143,Valves,SAMPLING VALVE,100,100,100,100,100
no,ACIN0144,Valves,"BALL VALVE 1"" Threaded on both sides",100,100,100,100,100
no,ACIN0145,Oil Level indicators,Oil Level Indicators,100,100,100,100,100
no,ACIN0146,Oil Level indicators,Magnetic- with 400mm boss,100,100,100,100,100
no,ACIN0147,Oil Level indicators,Magnetic- with 200mm boss,100,100,100,100,100
no,ACIN0148,Oil Level indicators,4 HOLES PRISMATIC,100,100,100,100,100
no,ACIN0149,Oil Level indicators,6 HOLES PRISMATIC,100,100,100,100,100
no,ACIN0150,Oil Level indicators,8 HOLES PRISMATIC,100,100,100,100,100
no,ACIN0151,Oil Level indicators,FLOATING TYPE,100,100,100,100,100
no,ACIN0152,Oil Level indicators,VIAT SO4 - Dial Type with Contacts,100,100,100,100,100
no,ACIN0153,Oil Level indicators,VIAT SO6 - Dial Type with Contacts,100,100,100,100,100
no,ACIN0154,Cable boxes,Cable Boxes,100,100,100,100,100
no,ACIN0155,Cable boxes,HV CABLE BOX,100,100,100,100,100
no,ACIN0156,Cable boxes,LV CABLE BOX,100,100,100,100,100
no,ACIN0157,Cable boxes,WTI BOX,100,100,100,100,100
no,ACIN0158,Cable boxes,CONNECTOR BOX,100,100,100,100,100
no,ACIN0159,Cable boxes,CT Terminal Box,100,100,100,100,100
no,ACIN0160,Other items,Other Parts,100,100,100,100,100
no,ACIN0161,Other items,RATING PLATE,100,100,100,100,100
no,ACIN0162,Other items,PHASE MARKING PLATES,100,100,100,100,100
no,ACIN0163,Other items,S/A MOUNTING BRACKET A-2,100,100,100,100,100
no,ACIN0164,Other items,ISD UNIT,100,100,100,100,100
no,ACIN0165,Other items,BREATHER 1KG TYPE A,100,100,100,100,100
no,ACIN0166,Other items,BREATHER 1KG TYPE B,100,100,100,100,100
no,ACIN0167,Other items,BREATHER 1KG TYPE C,100,100,100,100,100
no,ACIN0168,Other items,BREATHER 2KG,100,100,100,100,100
no,ACIN0169,Other items,THERMOMETER TEK 16,100,100,100,100,100
no,ACIN0170,Other items,"THERMOWELL 3/4"" BSP",100,100,100,100,100
no,ACIN0171,Other items,THERMOMETER POCKET,100,100,100,100,100
