ACOT0289,¼” NPT plug for filling for unused OFT port on TWP
P20004,1'' BSP SS Adaptors for Oil Filling 2'' Long
PT0022,1'' BSP to 1/2'' Hose Nipples
PR0032,1'' Clear Hose Flexible -3mm Thickness
PE0008,1'' Electrical Conduit
PE0009,1'' Electrical Conduit Bend
PE00010,1'' Electrical Conduit Joint Socket
MCOT0124,1 Gang Switch - Metal
SPGS0062,1 Gang Switch - Normal
SPPT0008,1'' Horse for Pressure Unit - 10Mtr
PR0033,1'' Hose Clip - Mild Steel
PX0012,1'' to 1/2'' Reducer
PE0030,"1, 1/2 GI Ball Valve"
PE0028,"1, 1/2 PVC Elbow"
PE0027,"1, 1/2 PVC Joint Socket"
PE0033,"1, 1/2 PVC Pipe Clip"
PE0026,"1, 1/2 PVC Pipe -S lon Heavy Duty"
PE0029,"1, 1/2 PVC T Socket"
PE0032,"1, 1/2 to 1, 1/4 PVC Reducer"
PE0031,"1, 1/2 Valve Socket"
PE0025,"1, 1/4 Water Flow Meter"
PT0020,"1, 3/4'' Brass End Cap -70mm"
PT0019,"1, 3/4'' to 1'' Brass adaptor -70mm"
PR0028,1.5'' Barrel Nipple - Weldable
PR0027,1.5'' Taper Union
PT0011,1/2'' - 1'' Barrel Nipple
PT0010,1/2'' - 1'' BSP Adaptor wirth 3/8'' BSP Threaded to Fix Pressure Gauge
PX0009,1/2'' Ball Valve
P60002,1/2'' BSP Hose Nipples
PX0008,1/2'' Counter
PX0007,1/2'' Flow Meter
PX0011,1/2'' GI Barrel Nipple
PX0010,1/2'' GI Elbow
PI0005,1/2'' PVC Bend
PI0004,1/2'' PVC Conduit
PE0021,1/2 PVC ElBow -S lon
PE0022,1/2 PVC Joint Socket -S lon
PE0020,1/2 PVC Pipe -S lon
PI0006,1/2'' PVC Socket
PE0024,1/2 Shower
PT0021,1/2'' to 1 3/4'' Hose Couplin
PX0014,1/4'' Horse Clip Heay Duty
PX0006,1/4'' Hose Power Pump
STRD0622,100 kVA 33 kV 415 V Amorphous Core Transformers
AATT0001,100/11 TFST
AAST0136,100/11 Tie Rod
AATT0002,100/33 TFST
AAST0093,100/33 Tie Rod
AATT0013,1000/11 TFST
AAST0142,1000/11 Tie Rod
