Item code,Description,Price
ACFG0001,DT250 Four Hole  Bushing  flag
ACFG0010,DT630 Four Hole  Bushing  flag
ACFG0011,DT1000 Four Hole  Bushing  flag
ACFG0012,DT2000 Four Hole  Bushing  flag
ACFG0013,DT3150 Four Hole  Bushing  flag
ACIN0013,Bucholz Relay (Gas Actuated Relay) EE2-MA
ACIN0016,"Bimetal Thermometer with 2 Contacts TEK-16 G1"""
ACIN0022,Gas Sampling Device RG3.3 for EE2-MA
ACIN0030,WindingTemperature Transmitter (Thermometer Pocket) ZT-F2.1 Pt100
ACIN0031,"Bimetal Thermometer with 2 Contacts TEKA-16 G3/4"""
ACIN0045,"Vertical Oil Level Indicator G1"" VIAT 804 - 232 (A=62, B=108, C=232)"
ACIN0046,"Vertical Oil Level Indicator G1"" VIAT 804 - 272 (A=102, B=148, C=272)"
ACOT0203,Marshalling Box 5000kVA/33/11kV for CT1911
ACOT0305,Connector Box Stainless Stelel 300x300x150mm
ACOT0344,Marshalling Box Type A with Provision for OTI or WTI
ACTS0001,Tap Selector 30kV 30A 5 POS L=100mm BIL=170kV
ACTS0002,Tap Selector 20kV 30A 5 POS L=100mm BIL=125kV
ACTS004,ASP HM 30kV 30A L131 23.44.885
ACTS006,ASP HM 20kV 63A L131 25.43.885
ACFG0001,
ACOT0289,¼” NPT plug for filling for unused OFT port on TWP
WTTS1070,Testing Multi Step Oval 800/33/415 EU
MCSF0042,"Safety Overalls Dark Blue (M,L)"
ASST0006,Operator Console - Simplex+ Series Console
WRLV0107,LV Winding of 3000/33/390 with replacement of new winding and re tanking with new oil
WTTS0275,Testing 5kVA 33kV 240V Single Phase Transformer
WTOV0580,Oven Multi Step 100/11/415 O/D STD PH2
WTTK0332,TANKING OF 10kVA 33kV 110V NVD Transformer (Special)
CULV0002,Copper Lead Set for 160/33/415 LV
INPB0015,Press Board E-Block for 160/11
WTOV0597,Oven Multi Step 2000/33/400 O/D STD EU
ACGK0066,Cork Gasket Cut to Size (Amorim TD1120 6mm) for 400/33/415 Ph1
WTBC0404,Core Building of O/D 630/33/400
FTPL0027,Plated Flat Washer M12 (13x34x2mm)
PM0001,Nomax Paper 0.25mm
PE0021,1/2 PVC ElBow -S lon
SPMW0008,Conical Nozzle- MB GRIP 24KD
AAAS0623,"Assembly Packet for Assembly 1250kVA, 400V/800V, ONAN , Three winding transformer"
ACVL0009,"Valve Ball 2"" PB700 - Pegler"
WTBC0613,Built Core Multi Step 1250/33/800 O/D STD EU
PE0001,"D.O.L Starter -7.5kW, 12HP, 18A, 415VAC"
WTOV0202,Oven 5/11
WTBC0735,Built Core Multi Step 1000/33/690 O/D STD EU AL
SPTL0015,Dies for Battery Crimping Tool 50 mm2
PH0004,150mm Nylon Pulley with 2nos of 6201 Bearings
AAAS0595,Assembly Packet for Multi Step Oval 1250/33/400 Assembly EU
INHV0410,Insulation Packet for 200/33/400 HV
WTTS0344,Testing 2000/33/415
INBC0687,Insulation Packet for 160/33/415 Built Core RD2009
INHV1068,Insulation Packet HV for 400/33/415 EU Loss Design
AATT0001,100/11 TFST
ACGK0042,Cork Gasket Cut to Size (Amorim TD1120 8mm) for 160kVA/33 kV
INSL0074,DDP Single Layer 0.25x338mm
WTHN0595,HV Winding New Multi Step 1250/33/400 O/D STD EU
