Item code,Tag,Description,Ex. Works Price,CIF,Duty Free,Duty Paid,Export
,Oil,Inhibited Mineral Oil,,,,,
,Oil,Unhibited Mineral Oil,,,,,
,LV Foil,215 x 0.19,,,,,
,LV Foil,240 x 0.27,,,,,
,LV Foil,275 x 0.40,,,,,
,LV Foil,275 x 0.27,,,,,
,LV Foil,280 x 0.25,,,,,
,LV Foil,280 x 0.27,,,,,
,LV Foil,280 x 0.4,,,,,
,LV Foil,3.5 x 11.5,,,,,
,LV Foil,3.5 x 17.5,,,,,
,LV Foil,3.5 x 9.5,,,,,
,LV Foil,320 x 0.40,,,,,
,LV Foil,330 x 0.55,,,,,
,LV Foil,370 x 0.50,,,,,
,LV Foil,4.5 x 10,,,,,
,LV Foil,405 x 0.75,,,,,
,LV Foil,410 x 0.70,,,,,
,LV Foil,425 x 0.85,,,,,
,LV Foil,530 x 0.80,,,,,
,LV Foil,540 x 0.90,,,,,
,LV Foil,540 x 0.9,,,,,
,LV Foil,540 x 1,,,,,
,LV Foil,565 x 0.90,,,,,
,LV Foil,630 x 0.45,,,,,
,LV Foil,630 x 0.45 x 2,,,,,
,LV Foil,630 x 0.95,,,,,
,LV Foil,650 x 0.5,,,,,
,LV Foil,650 x 0.50 x 2,,,,,
,LV Foil,650 x 1,,,,,
,LV Foil,675 x 0.9,,,,,
,LV Foil,685 x 0.6,,,,,
,LV Foil,685 x 0.60 x 2,,,,,
,LV Foil,755 x 0.7,,,,,
,LV Foil,755 x 0.70 x 2,,,,,
,LV Foil,760 x 0.8,,,,,
,LV Foil,760 x 0.80 x 2,,,,,
,LV Foil,760 x 0.95,,,,,
,LV Foil,800 x 1.35,,,,,
,LV Foil,800 x 1.35 x 2,,,,,
,BusBar,25 x 3,,,,,
,BusBar,38 x 4,,,,,
,BusBar,40 x 6,,,,,
,BusBar,50 x 6,,,,,
,BusBar,60 x 5,,,,,
,BusBar,60 x 8,,,,,
,BusBar,75 x 6,,,,,
,BusBar,80 x 8,,,,,
,BusBar,80 x 10,,,,,
,BusBar,100 x 10,,,,,
,BusBar,120 x 10,,,,,
,BusBar,120 x 12,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
